issn;journal_title;oa_mode;apc;year;;;
1944-0057;Food Additives and Contaminants - Part A;Hybrid;3250;2012;;;
1939-3229;Food Additives and Contaminants - Part B;Hybrid;3250;2012;;;
1465-3443;Food and Agricultural Immunology;Hybrid;3250;2012;;;
1532-4249;Food Biotechnology;Hybrid;3250;2012;;;
1525-6103;Food Reviews International;Hybrid;3250;2012;;;
1942-4299;Footwear Science;Hybrid;3250;2012;;;
2158-0715;Forest Science and Technology;Hybrid;3250;2012;;;
2164-3075;Forests, Trees and Livelihoods;Hybrid;3250;2012;;;
1891-1765;Forum for Development Studies;Hybrid;3250;2012;;;
2155-3777;Frontiers in Life Sciences;Hybrid;3250;2012;;;
1536-4046;Fullerenes, Nanotubes, and Carbon Nanostructures;Hybrid;3250;2012;;;
1752-0762;Geocarto International;Hybrid;3250;2012;;;
2029-7009;Geodesy and Cartography:;Hybrid;3250;2012;;;
1947-5713;Geomatics, Natural Hazards and Risk;Hybrid;3250;2012;;;
1748-6033;Geomechanics and Geoengineering: An International Journal;Hybrid;3250;2012;;;
1029-0419;Geophysical and Astrophysical Fluid Dynamics;Hybrid;3250;2012;;;
1749-9526;Georisk;Hybrid;3250;2012;;;
1545-3847;Gerontology & Geriatrics Education;Hybrid;3250;2012;;;
2000-0863;GFF;Hybrid;3250;2012;;;
1744-1706;Global Public Health;Hybrid;3250;2012;;;
1651-2049;Grana;Hybrid;3250;2012;;;
1751-7192;Green Chemistry Letters and Reviews;Hybrid;3250;2012;;;
1751-7192;Green Chemistry Letters and Reviews;Open Access;;2012;;;
2043-0787;Greenhouse Gas Management and Measurement;Hybrid;3250;2012;;;
1096-4665;Health Care For Women International;Hybrid;3250;2012;;;
1545-0864;Health Marketing Quarterly;Hybrid;3250;2012;;;
1743-7202;Health Psychology Review;Hybrid;3250;2012;;;
1469-8331;Health, Risk & Society;Hybrid;3250;2012;;;
1477-2299;High Pressure Research: An International Journal;Hybrid;3250;2012;;;
1545-0856;Home Health Care Services Quarterly;Hybrid;3250;2012;;;
1939-9278;Hospital Topics;Hybrid;3250;2012;;;
1466-1810;Housing Studies;Hybrid;3250;2012;;;
1651-2278;Housing, Theory and Society;Hybrid;3250;2012;;;
1549-7860;Human and Ecological Risk Assesement: An International Journal;Hybrid;3250;2012;;;
1532-7043;Human Performance;Hybrid;3250;2012;;;
2150-3435;Hyrdrological Sciences Journal;Hybrid;3250;2012;;;
1741-8720;Ibsen Studies;Hybrid;3250;2012;;;
1532-706X;Identity;Hybrid;3250;2012;;;
1471-5465;Impact Assessment and Project Appraisal;Hybrid;3250;2012;;;
1745-8943;Infant Observation;Hybrid;3250;2012;;;
1502-3923;Inquiry;Hybrid;3250;2012;;;
1525-6030;Instrumentation Science & Technology;Hybrid;3250;2012;;;
1464-5211;Int Jnl Mathematical Education in Science & Technology;Hybrid;3250;2012;;;
1476-8291;Integral Transforms and Special Functions;Hybrid;3250;2012;;;
1607-8489;Integrated Ferroelectrics;Hybrid;3250;2012;;;
1756-6932;Intelligent Buildings International;Hybrid;3250;2012;;;
1651-2324;International Forum of Psychoanalysis;Hybrid;3250;2012;;;
1479-4276;International Gambling Studies;Hybrid;3250;2012;;;
1938-2839;International Geology Review;Hybrid;3250;2012;;;
1532-7582;International Journal for the Psychology of Religion;Hybrid;3250;2012;;;
1747-762X;International Journal of Agricultural Sustainability;Hybrid;3250;2012;;;
1745-4840;International Journal Of Art Therapy;Hybrid;3250;2012;;;
1532-7108;International Journal of Aviation Psychology;Hybrid;3250;2012;;;
2151-3740;International Journal of Biodiversity Science, Ecosystem Services and Management;Hybrid;3250;2012;;;
1744-5183;International Journal of Clinical & Experimental Hypnosis;Hybrid;3250;2012;;;
1029-0257;International Journal of Computational Fluid Dynamics;Hybrid;3250;2012;;;
1875-6883;International Journal of Computational intelligence;Hybrid;3250;2012;;;
1362-3052;International Journal of Computer Integrated Manufacturing;Hybrid;3250;2012;;;
1029-0265;International Journal of Computer Mathematics;Hybrid;3250;2012;;;
1366-5820;International Journal of Control;Hybrid;3250;2012;;;
1754-2111;International Journal of Crashworthiness;Hybrid;3250;2012;;;
1754-2871;International Journal of Culture and Mental Health;Hybrid;3250;2012;;;
1753-8955;International Journal of Digital Earth;Hybrid;3250;2012;;;
1362-3060;International Journal of Electronics;Hybrid;3250;2012;;;
1029-0397;International Journal of Environmental Analytical Chemistry;Hybrid;3250;2012;;;
1029-0400;International Journal of Environmental Studies;Hybrid;3250;2012;;;
1532-2386;International Journal of Food Properties;Hybrid;3250;2012;;;
1932-9903;International Journal Of Forensic Mental Health;Hybrid;3250;2012;;;
1563-5104;International Journal of General Systems;Hybrid;3250;2012;;;
1362-3087;International Journal of Geographical Information Science;Hybrid;3250;2012;;;
1947-9824;International Journal of Image Data and Fusion;Hybrid;3250;2012;;;
1464-5173;International Journal of Injury Control and Safety Promotion;Hybrid;3250;2012;;;
1940-9060;International Journal Of Jungian Studies;Hybrid;3250;2012;;;
1469-848X;International Journal of Logistics;Hybrid;3250;2012;;;
1748-0949;International Journal of Mining, Reclamation & Environment;Hybrid;3250;2012;;;
2159-6719;International Journal of Odonatology;Hybrid;3250;2012;;;
1744-5779;International Journal of Parallel, Emergent and Distributed Systems;Hybrid;3250;2012;;;
1477-268X;International Journal of Pavement Engineering;Hybrid;3250;2012;;;
1549-7879;International Journal of Phytoremediation;Hybrid;3250;2012;;;
1563-5341;International Journal of Polymer Analysis & Characterization;Hybrid;3250;2012;;;
1563-535X;International Journal of Polymeric Materials;Hybrid;3250;2012;;;
1744-9200;International Journal of Prisoner Health;Hybrid;3250;2012;;;
1366-588X;International Journal of Production Research;Hybrid;3250;2012;;;
1940-9141;International Journal Of Psychoanalytic Self Psychology;Hybrid;3250;2012;;;
1464-066X;International Journal Of Psychology;Hybrid;3250;2012;;;
1366-5901;International Journal of Remote Sensing;Hybrid;3250;2012;;;
1814-2060;International Journal of River Basin Management;Hybrid;3250;2012;;;
1931-762X;International Journal Of Sexual Health (New Title);Hybrid;3250;2012;;;
1947-5411;International Journal of Smart and Nano Materials;Open Access;;2012;;;
1648-9179;International Journal of Strategic Property Management;Hybrid;3250;2012;;;
1745-2627;International Journal of Sustainable Development and World Ecology;Hybrid;3250;2012;;;
1478-646X;International Journal of Sustainable Energy;Hybrid;3250;2012;;;
1939-7046;International Journal of Sustainable Engineering;Hybrid;3250;2012;;;
1464-5319;International Journal of Systems Science;Hybrid;3250;2012;;;
1532-7574;International Journal of Testing;Hybrid;3250;2012;;;
1434-4599;International Journal of Transgenderism;Hybrid;3250;2012;;;
1946-3146;International Journal of Urban Sustainable Development;Hybrid;3250;2012;;;
1424-1250;International Journal on Media Management;Hybrid;3250;2012;;;
1750-9858;International Review of Sport and Exercise Psychology;Hybrid;3250;2012;;;
1741-5985;Inverse Problems in Science and Engineering;Hybrid;3250;2012;;;
2157-0272;Invertebrate Reproduction & Development;Hybrid;3250;2012;;;
1477-2639;Isotopes in Environmental Health Studies;Hybrid;3250;2012;;;
1549-6295;Journal for Specialists in Group Work;Hybrid;3250;2012;;;
1545-0848;Journal Of Addictive Diseases;Hybrid;3250;2012;;;
1568-5616;Journal of Adhesion;Hybrid;3250;2012;;;
1545-083X;Journal of Aggression, Maltreatment & Trauma;Hybrid;3250;2012;;;
1545-0821;Journal of Aging & Social Policy;Hybrid;3250;2012;;;
1932-5614;Journal of Aging, Humanities And The Arts;Hybrid;3250;2012;;;
2162-8246;Journal of Ambient Energy;Hybrid;3250;2012;;;
1940-3208;Journal Of American College Health;Hybrid;3250;2012;;;
0974-1844;Journal of Applied Animal Research;Hybrid;3250;2012;;;
1532-7604;Journal of Applied Animal Welfare Science;Hybrid;3250;2012;;;
1537-7911;Journal of Applied School Psychology;Hybrid;3250;2012;;;
1533-1571;Journal of Applied Sport Psychology;Hybrid;3250;2012;;;
1360-0532;Journal of Applied Statistics;Hybrid;3250;2012;;;
1548-8667;Journal of Aquatic Animal Health;Hybrid;3250;2012;;;
1477-2213;Journal of Asian Natural Product Research;Hybrid;3250;2012;;;
1751-6242;Journal of Asian Public Policy;Hybrid;3250;2012;;;
1751-3766;Journal of Biological Dynamics;Hybrid;3250;2012;;;
1751-3766;Journal of Biological Dynamics;Open Access;;2012;;;
1520-5711;Journal of Biopharmaceutical Statistics;Hybrid;3250;2012;;;
1529-9724;Journal of Bisexuality;Hybrid;3250;2012;;;
1537-2707;Journal of Business Economics and Management;Hybrid;3250;2012;;;
1532-2327;Journal of Carbohydrate Chemistry;Hybrid;3250;2012;;;
1728-0591;Journal Of Child & Adolescent Mental Health;Hybrid;3250;2012;;;
1547-0652;Journal Of Child & Adolescent Substance Abuse;Hybrid;3250;2012;;;
1936-153X;Journal of Child & Adolescent Trauma;Hybrid;3250;2012;;;
1537-940X;Journal Of Child Custody;Hybrid;3250;2012;;;
1469-9370;Journal Of Child Psychotherapy;Hybrid;3250;2012;;;
1547-0679;Journal of Child Sexual Abuse;Hybrid;3250;2012;;;
1822-3605;Journal of Civil Engineering and Management:;Hybrid;3250;2012;;;
1744-411X;Journal of Clinical and Experimental Neuropsychology;Hybrid;3250;2012;;;
1537-4424;Journal of Clinical Child & Adolescent Psychology;Hybrid;3250;2012;;;
1532-7647;Journal of Cognition And Development;Hybrid;3250;2012;;;
2044-592X;Journal of Cognitive Psychology;Hybrid;3250;2012;;;
1540-4730;Journal of College Student Psychotherapy;Hybrid;3250;2012;;;
1532-7655;Journal Of Community Health Nursing;Hybrid;3250;2012;;;
1543-3706;Journal Of Community Practice;Hybrid;3250;2012;;;
1748-6831;Journal Of Comparative Social Welfare;Hybrid;3250;2012;;;
1521-0650;Journal of Constructivist Psychology;Hybrid;3250;2012;;;
1029-0389;Journal of Coordination Chemistry;Hybrid;3250;2012;;;
1533-2683;Journal of Couple & Relationship Therapy;Hybrid;3250;2012;;;
1540-1391;Journal of Creativity in Mental Health;Hybrid;3250;2012;;;
1753-0369;Journal of Cultural Economy;Hybrid;3250;2012;;;
1743-9140;Journal of Development Studies;Hybrid;3250;2012;;;
1563-5120;Journal of Difference Equations and Applications;Hybrid;3250;2012;;;
1540-4811;Journal of Divorce & Remarriage;Hybrid;3250;2012;;;
1550-4271;Journal Of Dual Diagnosis;Hybrid;3250;2012;;;
1753-1063;Journal of Eastern African Studies;Hybrid;3250;2012;;;
1540-4129;Journal of Elder Abuse & Neglect;Hybrid;3250;2012;;;
1545-8822;Journal of Energetic Materials;Hybrid;3250;2012;;;
1466-1837;Journal of Engineering Design;Hybrid;3250;2012;;;
2160-6552;Journal of Environmental Economics and Policy;Hybrid;3250;2012;;;
1822-4199;Journal of Environmental Engineering & Landscape Management:;Hybrid;3250;2012;;;
1360-0559;Journal of Environmental Planning and Management;Hybrid;3250;2012;;;
1522-7200;Journal of Environmental Policy and Planning;Hybrid;3250;2012;;;
1532-4117;Journal of Environmental Science and Health: Part A;Hybrid;3250;2012;;;
1532-4109;Journal of Environmental Science and Health: Part B;Hybrid;3250;2012;;;
1532-4095;Journal of Environmental Science and Health: Part C;Hybrid;3250;2012;;;
1531-3212;Journal Of Ethnic And Cultural Diversity In Social Work;Hybrid;3250;2012;;;
1469-9451;Journal of Ethnic and Migration Studies;Hybrid;3250;2012;;;
1533-2659;Journal Of Ethnicity In Substance Abuse;Hybrid;3250;2012;;;
1543-3722;Journal Of Evidence - Based Social Work;Hybrid;3250;2012;;;
0952-813X;Journal of Experimental & Theoretical Artificial Intelligence;Hybrid;3250;2012;;;
1745-8099;Journal of Experimental Nanoscience;Hybrid;3250;2012;;;
1540-4080;Journal of Family Psychotherapy;Hybrid;3250;2012;;;
1540-4072;Journal Of Family Social Work;Hybrid;3250;2012;;;
1540-4099;Journal of Feminist Family Therapy;Hybrid;3250;2012;;;
1478-9957;Journal of Forensic Psychiatry and Psychology;Hybrid;3250;2012;;;
1522-9092;Journal of Forensic Psychology Practice;Hybrid;3250;2012;;;
2156-6941;Journal of Freshwater Ecology;Hybrid;3250;2012;;;
1935-9713;Journal of Gay & Lesbian Mental Health;Hybrid;3250;2012;;;
1540-4056;Journal of Gay & Lesbian Social Services;Hybrid;3250;2012;;;
1540-4048;Journal of Gerontological Social Work;Hybrid;3250;2012;;;
1550-4298;Journal of GLBT Family Studies;Hybrid;3250;2012;;;
1556-0368;Journal of Groups in Addiction & Recovery;Hybrid;3250;2012;;;
1528-6916;Journal of Health Care Chaplaincy;Hybrid;3250;2012;;;
1087-0415;Journal of Health Communication;Hybrid;3250;2012;;;
1538-151X;Journal Of Hiv/Aids & Social Services;Hybrid;3250;2012;;;
1540-3602;Journal of Homosexuality;Hybrid;3250;2012;;;
1540-3556;Journal of Human Behavior in the Social Environment;Hybrid;3250;2012;;;
1814-2079;Journal of Hydraulic Research;Hybrid;3250;2012;;;
1532-4230;Journal of Immunoassay and Immunochemistry;Hybrid;3250;2012;;;
1940-9214;Journal Of Infant, Child, And Adolescent Psychotherapy;Hybrid;3250;2012;;;
2158-1606;Journal of Information Display;Hybrid;3250;2012;;;
1943-8168;Journal of Integrative Environmental Sciences;Hybrid;3250;2012;;;
1535-0932;Journal of Intergenerational Relationships;Hybrid;3250;2012;;;
1747-4248;Journal of Land Use Science;Hybrid;3250;2012;;;
1744-0564;Journal of Legal History;Hybrid;3250;2012;;;
1521-057X;Journal Of Legal Medicine;Hybrid;3250;2012;;;
1540-3548;Journal of Lesbian Studies;Hybrid;3250;2012;;;
1553-8338;Journal of LGBT Issues in Counseling;Hybrid;3250;2012;;;
1936-1661;Journal of LGBT Youth;Hybrid;3250;2012;;;
1520-572X;Journal of Liquid Chromatography and Related Technologies;Hybrid;3250;2012;;;
1748-9733;Journal of Location Based Services;Hybrid;3250;2012;;;
1532-5032;Journal of Loss & Trauma;Hybrid;3250;2012;;;
1520-5738;Journal of Macromolecular Science, Part A: Pure and Applied Chemistry;Hybrid;3250;2012;;;
1525-609X;Journal of Macromolecular Science, Part B: Physics;Hybrid;3250;2012;;;
1744-5647;Journal of Maps;Hybrid;3250;2012;;;
1745-9745;Journal of Mathematics and Music;Hybrid;3250;2012;;;
1751-3480;Journal of Mathematics and the Arts;Hybrid;3250;2012;;;
1754-6567;Journal of Medieval Iberian Studies;Hybrid;3250;2012;;;
1931-5872;Journal Of Mental Health Research In Intellectual Disabilities;Hybrid;3250;2012;;;
1502-7589;Journal of Military Ethics;Hybrid;3250;2012;;;
1362-3044;Journal of Modern Optics;Hybrid;3250;2012;;;
1940-1027;Journal Of Motor Behavior;Hybrid;3250;2012;;;
1556-4908;Journal of Muslim Mental Health;Hybrid;3250;2012;;;
1939-0467;Journal of Natural Resources Policy Research;Hybrid;3250;2012;;;
1530-017X;Journal of Neurotherapy;Hybrid;3250;2012;;;
1023-8166;Journal of Neutron Research;Hybrid;3250;2012;;;
1530-017X;Journal of New Music Research;Hybrid;3250;2012;;;
1029-0311;Journal of Nonparametric Statistics;Hybrid;3250;2012;;;
2155-1200;Journal of Nutrition in Gerontology and Geriatrics;Hybrid;3250;2012;;;
1545-9632;Journal of Occupational and Environmental Hygiene;Hybrid;3250;2012;;;
2158-1576;Journal of Occupational Science;Hybrid;3250;2012;;;
1941-1251;Journal of Occupational Therapy, Schools & Early Intervention;Hybrid;3250;2012;;;
2160-6110;Journal of Organic Semiconductors;Open Access;;2012;;;
1540-8604;Journal of Organizational Behavior Management;Hybrid;3250;2012;;;
1532-7752;Journal of Personality Assessment;Hybrid;3250;2012;;;
1742-9153;Journal of Plant Interactions;Hybrid;3250;2012;;;
1567-2344;Journal Of Poetry Therapy;Hybrid;3250;2012;;;
1558-8750;Journal Of Policy Practice;Hybrid;3250;2012;;;
1540-7330;Journal Of Prevention & Intervention In The Community;Hybrid;3250;2012;;;
1540-7616;Journal Of Progessive Human Services;Hybrid;3250;2012;;;
1540-7586;Journal Of Psychosocial Oncology;Hybrid;3250;2012;;;
1554-8740;Journal Of Public Child Welfare;Hybrid;3250;2012;;;
1542-6440;Journal of Religion & Spirituality In Social Work: Social Thought;Hybrid;3250;2012;;;
1522-9122;Journal Of Religion, Disability & Health;Hybrid;3250;2012;;;
1552-8049;Journal Of Religion, Spirituality & Aging;Hybrid;3250;2012;;;
1469-672X;Journal Of Reproductive And Infant Psychology;Hybrid;3250;2012;;;
1651-2340;Journal of Scandinavian Studies in Criminology & Crime Prevention;Hybrid;3250;2012;;;
1538-8239;Journal Of School Violence;Hybrid;3250;2012;;;
1521-0715;Journal Of Sex & Marital Therapy;Hybrid;3250;2012;;;
1559-8519;Journal of Sex Research;Hybrid;3250;2012;;;
1742-6545;Journal Of Sexual Aggression;Hybrid;3250;2012;;;
1540-7314;Journal Of Social Service Research;Hybrid;3250;2012;;;
1469-9621;Journal Of Social Welfare & Family;Hybrid;3250;2012;;;
1536-7118;Journal Of Social Work In Disability & Rehabilitation;Hybrid;3250;2012;;;
1552-4264;Journal Of Social Work In End-Of-Life & Palliative Care;Hybrid;3250;2012;;;
1465-3885;Journal Of Social Work Practice;Hybrid;3250;2012;;;
1533-2578;Journal Of Social Work Practice In The Addictions;Hybrid;3250;2012;;;
1934-9645;Journal Of Spirituality In Mental Health;Hybrid;3250;2012;;;
1563-5163;Journal of Statistical Computation and Simulation;Hybrid;3250;2012;;;
1741-6000;Journal of Sulfur Chemistry;Hybrid;3250;2012;;;
1478-0941;Journal of Systematic Palaentology;Hybrid;3250;2012;;;
1540-7349;Journal Of Teaching In Social Work;Hybrid;3250;2012;;;
1522-8991;Journal Of Technology In Human Services;Hybrid;3250;2012;;;
2158-7299;Journal of the Chinese Institute of Engineers;Hybrid;3250;2012;;;
1017-0669;Journal of the Chinese Institute of Industrial Engineering;Hybrid;3250;2012;;;
1744-5213;Journal Of The History Of The Neurosciences;Hybrid;3250;2012;;;
1175-8899;Journal of the Royal Society of NZ;Hybrid;3250;2012;;;
1087-2620;Journal of Toxicology and Environmental Health, Part A;Hybrid;3250;2012;;;
1521-6950;Journal of Toxicology and Environmental Health, Part B;Hybrid;3250;2012;;;
1529-9740;Journal Of Trauma & Dissociation;Hybrid;3250;2012;;;
1468-5248;Journal of Turbulence;Hybrid;3250;2012;;;
1750-0133;Journal of Victorian Culture;Hybrid;3250;2012;;;
1540-7322;Journal Of Women & Aging;Hybrid;3250;2012;;;
1532-2319;Journal of Wood Chemistry and Technology;Hybrid;3250;2012;;;
1555-5259;Journal Of Workplace Behavioral Health;Hybrid;3250;2012;;;
1651-2294;Konsthistorisk Tidskrift/Journal of Art History;Hybrid;3250;2012;;;
1177-083X;Kotuitui;Hybrid;3250;2012;;;
1177-083X;Kotuitui;Open Access;;2012;;;
1532-7817;Language Acquisition;Hybrid;3250;2012;;;
1464-0732;Language and Cognitive Processes;Hybrid;3250;2012;;;
1547-3341;Language Learning And Development;Hybrid;3250;2012;;;
1464-0678;Laterality;Hybrid;3250;2012;;;
2029-7483;Limes;Hybrid;3250;2012;;;
1563-5139;Linear and Multilinear Algebra;Hybrid;3250;2012;;;
1366-5855;Liquid Crystals;Hybrid;3250;2012;;;
1469-6711;Local Environment;Hybrid;3250;2012;;;
1745-1019;Marine Biology Research;Hybrid;3250;2012;;;
1540-9635;Marriage & Family Review;Hybrid;3250;2012;;;
1744-5051;Mathematical & Computer Modelling of Dynamical Systems;Hybrid;3250;2012;;;
1648-3510;Mathematical Modelling And Analysis;Hybrid;3250;2012;;;
1547-724X;Mathematical Population Studies;Hybrid;3250;2012;;;
1536-6359;Measurement: Interdisciplinary Research & Perspective;Hybrid;3250;2012;;;
1464-0686;Memory;Hybrid;3250;2012;;;
1752-3273;Mental Health & Substance Use: dual diagnosis;Hybrid;3250;2012;;;
