issn;journal_title;oa_mode;apc;year
2047-2404;European Heart Journal - Cardiovascular Imaging;Hybrid;3938;2019
2055-6837;European Heart Journal - Cardiovascular Pharmacotherapy;Hybrid;2793;2019
2514-2119;European Heart Journal - Case Reports;Open Access;640;2019
2058-5225;European Heart Journal - Quality of Care and Clinical Outcomes;Hybrid;2793;2019
0938-5428;European Journal of International Law;Hybrid;3150;2019
0141-5387;European Journal of Orthodontics;Hybrid;3749;2019
1101-1262;European Journal of Public Health;Hybrid;2678;2019
0165-1587;European Review of Agricultural Economics;Hybrid;4100;2019
1361-4916;European Review of Economic History;Hybrid;3296;2019
0266-7215;European Sociological Review;Hybrid;3646;2019
2050-6201;Evolution, Medicine, & Public Health;Open Access;2150;2019
1460-2229;Family Practice;Hybrid;3749;2019
0168-6496;FEMS Microbiology Ecology;Hybrid;3210;2019
0378-1097;FEMS Microbiology Letters;Hybrid;3210;2019
0168-6445;FEMS Microbiology Reviews;Hybrid;3080;2019
1567-1356;FEMS Yeast Research;Hybrid;3210;2019
2399-1399;Food Quality and Safety;Open Access;1400;2019
1743-8586;Foreign Policy Analysis;Hybrid;3150;2019
0015-749X;Forest Science;Hybrid;2800;2019
0015-752X;Forestry: An International Journal of Forest Research;Hybrid;3000;2019
0015-8518;Forum for Modern Language Studies;Hybrid;3087;2019
0269-1191;French History;Hybrid;3150;2019
0016-1128;French Studies;Hybrid;3150;2019
0262-2750;French Studies Bulletin;Hybrid;2150;2019
2052-0034;Gastroenterology Report;Open Access;1360;2019
1759-6653;Genome Biology and Evolution;Open Access;1800;2019
0266-3554;German History;Hybrid;3400;2019
2047-217X;GigaScience;Open Access;2132;2019
2058-7430;Global Summitry;Hybrid;3150;2019
1460-2423;Glycobiology;Hybrid;3150;2019
0268-1153;Health Education Research;Hybrid;3308;2019
0268-1080;Health Policy and Planning;Hybrid;2678;2019
0957-4824;Health Promotion International;Hybrid;3528;2019
1363-3554;History Workshop Journal;Hybrid;3308;2019
0360-3989;Human Communication Research;Hybrid;3150;2019
0964-6906;Human Molecular Genetics;Hybrid;3150;2019
0268-1161;Human Reproduction;Hybrid;3400;2019
2399-3529;Human Reproduction Open;Open Access;N/A;2019
1461-7781;Human Rights Law Review;Hybrid;3309;2019
1054-3139;ICES Journal of Marine Science;Hybrid;3150;2019
0258-3690;ICSID Review - Foreign Investment Law Journal;Hybrid;3308;2019
1084-2020;ILAR Journal;Hybrid;3150;2019
0272-4960;IMA Journal of Applied Mathematics;Hybrid;3087;2019
1471-678X;IMA Journal of Management Mathematics;Hybrid;3087;2019
0265-0754;IMA Journal of Mathematical Control and Information;Hybrid;3087;2019
0272-4979;IMA Journal of Numerical Analysis;Hybrid;3087;2019
0960-6491;Industrial and Corporate Change;Hybrid;3570;2019
0305-9332;Industrial Law Journal;Hybrid;3308;2019
1078-0998;Inflammatory Bowel Diseases;Hybrid;3000;2019
2049-8772;Information and Inference: A Journal of the IMA;Hybrid;3087;2019
2399-5300;Innovation in Aging;Open Access;2000;2019
1540-7063;Integrative and Comparative Biology;Hybrid;3150;2019
2517-4843;Integrative Organismal Biology: A Journal of the Society for Integrative and Comparative Biology;Open Access;1700;2019
0953-5438;Interacting with Computers;Hybrid;3150;2019
0020-5850;International Affairs;Hybrid;3960;2019
2044-3994;International Data Privacy Law;Hybrid;3749;2019
1460-2377;International Immunology;Hybrid;3200;2019
1353-4505;International Journal for Quality in Health Care;Hybrid;3308;2019
1474-2640;International Journal of Constitutional Law;Hybrid;3150;2019
0300-5771;International Journal of Epidemiology;Hybrid;3749;2019
0967-0769;International Journal of Law and Information Technology;Hybrid;3308;2019
1360-9939;International Journal of Law, Policy and the Family;Hybrid;3310;2019
0950-3846;International Journal of Lexicography;Hybrid;3749;2019
1748-1317;International Journal of Low-Carbon Technologies;Open Access;1360;2019
1461-1457;International Journal of Neuropsychopharmacology;Open Access;1500;2019
1471-6909;International Journal of Public Opinion Research;Hybrid;2520;2019
0953-8186;International Journal of Refugee Law;Hybrid;3235;2019
1752-7716;International Journal of Transitional Justice;Hybrid;3309;2019
1073-7928;International Mathematics Research Notices;Hybrid;3310;2019
1749-5679;International Political Sociology;Hybrid;3150;2019
1470-482X;International Relations of the Asia-Pacific;Hybrid;3000;2019
1528-3577;International Studies Perspectives;Hybrid;3150;2019
0020-8833;International Studies Quarterly;Hybrid;3000;2019
1521-9488;International Studies Review;Hybrid;3150;2019
2574-2531;JAMIA Open;Open Access;2888;2019
1465-3621;Japanese Journal of Clinical Oncology;Hybrid;3000;2019
2219-7117;Jerusalem Review of Legal Studies;Hybrid;3308;2019
2515-5091;JNCI Cancer Spectrum;Open Access;1150;2019
0963-8024;Journal of African Economies;Hybrid;3850;2019
0146-4760;Journal of Analytical Toxicology;Hybrid;3520;2019
0021-8812;Journal of Animal Science;Hybrid;3550;2019
0305-7453;Journal of Antimicrobial Chemotherapy;Hybrid;3200;2019
2050-0696;Journal of Antitrust Enforcement;Hybrid;3308;2019
1559-047X;"Journal of Burn Care &amp; Research";Hybrid;2888;2019
0021-9665;Journal of Chromatographic Science;Hybrid;3520;2019
0021-969X;Journal of Church and State;Hybrid;2800;2019
0021-9916;Journal of Communication;Hybrid;3000;2019
1744-6414;"Journal of Competition Law &amp; Economics";Hybrid;3308;2019
2051-1329;Journal of Complex Networks;Hybrid;3308;2019
1467-7954;Journal of Conflict and Security Law;Hybrid;3310;2019
0093-5301;Journal of Consumer Research;Hybrid;2940;2019
0278-0372;Journal of Crustacean Biology;Hybrid;3087;2019
2057-2093;Journal of Cybersecurity;Open Access;1050;2019
1468-2702;Journal of Economic Geography;Hybrid;3610;2019
0952-8873;Journal of Environmental Law;Hybrid;3310;2019
2041-7764;"Journal of European Competition Law &amp; Practice";Hybrid;3749;2019
1479-8409;Journal of Financial Econometrics;Hybrid;3540;2019
2053-4841;Journal of Financial Regulation;Hybrid;3308;2019
0022-1201;Journal of Forestry;Hybrid;2800;2019
2057-3170;Journal of Global Security Studies;Hybrid;3150;2019
2054-8397;Journal of Hip Preservation Surgery;Open Access;1103;2019
1757-9627;Journal of Human Rights Practice;Hybrid;3308;2019
1536-2442;Journal of Insect Science;Open Access;2217;2019
2058-5985;Journal of Integrable Systems;Open Access;0;2019
2155-7470;Journal of Integrated Pest Management;Open Access;819;2019
1747-1532;"Journal of Intellectual Property Law &amp; Practice";Hybrid;3749;2019
1478-1387;Journal of International Criminal Justice;Hybrid;3310;2019
2040-3585;Journal of International Dispute Settlement;Hybrid;3308;2019
1369-3034;Journal of International Economic Law;Hybrid;3310;2019
0955-2340;Journal of Islamic Studies;Hybrid;3360;2019
2058-458X;Journal of Language Evolution;Hybrid;2646;2019
2053-9711;Journal of Law and the Biosciences;Open Access;840;2019
1946-5319;Journal of Legal Analysis;Open Access;0;2019
0955-792X;Journal of Logic and Computation;Hybrid;3308;2019
0022-2372;Journal of Mammalogy;Hybrid;1389;2019
1759-4685;Journal of Molecular Cell Biology;Hybrid;2040;2019
0260-1230;Journal of Molluscan Studies;Hybrid;3150;2019
0022-3069;"Journal of Neuropathology &amp; Experimental Neurology";Hybrid;3675;2019
0146-8693;Journal of Pediatric Psychology;Hybrid;3360;2019
0022-3530;Journal of Petrology;Hybrid;3150;2019
0142-7873;Journal of Plankton Research;Hybrid;3308;2019
1752-993X;Journal of Plant Ecology;Hybrid;3040;2019
1053-1858;Journal of Public Administration Research and Theory;Hybrid;2800;2019
1741-3842;Journal of Public Health;Hybrid;2812;2019
1349-9157;Journal of Radiation Research;Open Access;1600;2019
0951-6328;Journal of Refugee Studies;Hybrid;3308;2019
0167-5133;Journal of Semantics;Hybrid;480;2019
0022-4480;Journal of Semitic Studies;Hybrid;3087;2019
2042-8812;Journal of Surgical Case Reports;Open Access;668;2019
1527-974X;Journal of the American Medical Informatics Association;Hybrid;3938;2019
2515-2084;Journal of the Canadian Association of Gastroenterology;Open Access;1156;2019
2472-1972;Journal of the Endocrine Society;Open Access;3500;2019
1542-4766;Journal of the European Economic Association;Hybrid;3790;2019
0022-5045;Journal of the History of Medicine and Allied Sciences;Hybrid;3308;2019
1195-1982;Journal of Travel Medicine;Hybrid;3360;2019
1465-3664;Journal of Tropical Pediatrics;Hybrid;1186;2019
2058-5543;Journal of Urban Ecology;Open Access;0;2019
1355-5502;Journal of Victorian Culture;Hybrid;3049;2019
0007-5027;Lab Medicine;Hybrid;2600;2019
1470-8396;Law, Probability and Risk;Hybrid;3308;2019
0269-1205;Literature and Theology;Hybrid;3087;2019
1367-0751;Logic Journal of the IGPL;Hybrid;3308;2019
2050-6333;London Review of International Law;Hybrid;3310;2019
0076-3519;Mammalian Species;Hybrid;1389;2019
1477-8599;Mathematical Medicine and Biology: A Journal of the IMA;Hybrid;3087;2019
0967-0742;Medical Law Review;Hybrid;3310;2019
2049-5846;Migration Studies;Hybrid;3480;2019
0026-4075;Military Medicine;Hybrid;2520;2019
0026-4423;Mind;Hybrid;3108;2019
0276-1114;Modern Judaism - A Journal of Jewish Ideas and Experience;Hybrid;1600;2019
0737-4038;Molecular Biology and Evolution;Hybrid;2500;2019
0035-8711;Monthly Notices of the Royal Astronomical Society;Hybrid;2760;2019
1745-3925;Monthly Notices of the Royal Astronomical Society: Letters;Hybrid;2760;2019
0027-4224;Music and Letters;Hybrid;3360;2019
0267-8357;Mutagenesis;Hybrid;3087;2019
1522-8517;Neuro-Oncology;Hybrid;3000;2019
2057-2107;Neuroscience of Consciousness;Open Access;N/A;2019
0148-396X;Neurosurgery;Hybrid;3000;2019
1469-994X;Nicotine and Tobacco Research;Hybrid;4052;2019
0029-3970;Notes and Queries;Hybrid;1764;2019
0305-1048;Nucleic Acids Research;Open Access;2909;2019
0029-6643;Nutrition Reviews;Hybrid;4000;2019
0962-7480;Occupational Medicine;Hybrid;1800;2019
2328-8957;Open Forum Infectious Diseases;Open Access;3150;2019
2332-4252;Operative Neurosurgery;Hybrid;3000;2019
0030-7653;Oxford Economic Papers;Hybrid;4480;2019
2047-0770;Oxford Journal of Law and Religion;Hybrid;3308;2019
0143-6503;Oxford Journal of Legal Studies;Hybrid;3308;2019
2053-8855;Oxford Medical Case Reports;Open Access;668;2019
0266-903X;Oxford Review of Economic Policy;Hybrid;4300;2019
1205-7088;"Paediatrics &amp; Child Health";Hybrid;3623;2019
1526-2375;Pain Medicine;Hybrid;3675;2019
0031-2290;Parliamentary Affairs;Hybrid;3622;2019
0031-2746;"Past &amp; Present";Hybrid;3371;2019
2398-4910;Perspectives on Public Management and Governance;Hybrid;2800;2019
1744-6406;Philosophia Mathematica;Hybrid;3308;2019
1752-4512;Policing: A Journal of Policy and Practice;Hybrid;3308;2019
2096-5303;Precision Clinical Medicine;Open Access;0;2019
0066-7374;Proceedings of the Aristotelian Society;Hybrid;3245;2019
2050-3911;Progress of Theoretical and Experimental Physics;Open Access;0;2019
1754-9981;Public Health Ethics;Hybrid;2800;2019
0033-362X;Public Opinion Quarterly;Hybrid;2940;2019
1055-3037;"Public Policy &amp; Aging Report";Hybrid;3070;2019
0004-6264;Publications of the Astronomical Society of Japan;Hybrid;2800;2019
0048-5950;Publius: The Journal of Federalism;Hybrid;2940;2019
1460-2725;QJM: An International Journal of Medicine;Hybrid;3570;2019
0144-8420;Radiation Protection Dosimetry;Hybrid;3308;2019
1020-4067;Refugee Survey Quarterly;Hybrid;3308;2019
2056-3418;Regenerative Biomaterials;Open Access;1224;2019
1750-6816;Review of Environmental Economics and Policy;Hybrid;3308;2019
1572-3097;Review of Finance;Hybrid;4100;2019
1462-0324;Rheumatology;Hybrid;3308;2019
2514-1775;Rheumatology Advances in Practice;Open Access;2400;2019
0586-7614;Schizophrenia Bulletin;Hybrid;3150;2019
0036-9543;Screen;Hybrid;3150;2019
0161-8105;Sleep;Hybrid;2060;2019
1749-5024;Social Cognitive and Affective Neuroscience;Open Access;1575;2019
0037-7732;Social Forces;Hybrid;3087;2019
0951-631X;Social History of Medicine;Hybrid;3146;2019
1072-4745;"Social Politics: International Studies in Gender, State &amp; Society";Hybrid;3234;2019
0037-7791;Social Problems;Hybrid;2389;2019
1369-1465;Social Science Japan Journal;Hybrid;3000;2019
1475-1461;Socio-Economic Review;Hybrid;3087;2019
0144-3593;Statute Law Review;Hybrid;3310;2019
2397-7000;Synthetic Biology;Open Access;2688;2019
1063-5157;Systematic Biology;Hybrid;1800;2019
0268-3679;Teaching Mathematics and its Applications: An International Journal of the IMA;Hybrid;3087;2019
0002-9165;The American Journal of Clinical Nutrition;Hybrid;5000;2019
0065-8995;The American Journal of Jurisprudence;Hybrid;3308;2019
0007-0882;The British Journal for the Philosophy of Science;Hybrid;3560;2019
0007-0904;The British Journal of Aesthetics;Hybrid;3087;2019
0007-0955;The British Journal of Criminology;Hybrid;4350;2019
0045-3102;The British Journal of Social Work;Hybrid;3600;2019
0008-199X;The Cambridge Quarterly;Hybrid;3087;2019
1750-8916;The Chinese Journal of International Politics;Hybrid;3040;2019
0010-4620;The Computer Journal;Hybrid;3150;2019
0013-8266;The English Historical Review;Hybrid;3308;2019
0016-9013;The Gerontologist;Hybrid;3400;2019
1081-4159;The Journal of Deaf Studies and Deaf Education;Hybrid;3308;2019
1756-4263;The Journal of Hindu Studies;Hybrid;2800;2019
0022-1899;The Journal of Infectious Diseases;Hybrid;3675;2019
0360-5310;The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine;Hybrid;2800;2019
0022-3166;The Journal of Nutrition;Hybrid;5000;2019
0022-5185;The Journal of Theological Studies;Hybrid;3360;2019
1754-9957;"The Journal of World Energy Law &amp; Business";Hybrid;3308;2019
0075-8744;The Leo Baeck Institute Year Book;Hybrid;3087;2019
0024-2160;The Library;Hybrid;3150;2019
0027-4631;The Musical Quarterly;Hybrid;3360;2019
0736-0053;The Opera Quarterly;Hybrid;3360;2019
0031-8094;The Philosophical Quarterly;Hybrid;3360;2019
0033-5533;The Quarterly Journal of Economics;Hybrid;3308;2019
0033-5606;The Quarterly Journal of Mathematics;Hybrid;3310;2019
0033-5614;The Quarterly Journal of Mechanics and Applied Mathematics;Hybrid;3087;2019
2045-9920;The Review of Asset Pricing Studies;Hybrid;2940;2019
2046-9128;The Review of Corporate Finance Studies;Hybrid;2940;2019
0034-6527;The Review of Economic Studies;Hybrid;5650;2019
0034-6551;The Review of English Studies;Hybrid;3607;2019
0893-9454;The Review of Financial Studies;Hybrid;2940;2019
0258-6770;The World Bank Economic Review;Hybrid;2800;2019
0257-3032;The World Bank Research Observer;Hybrid;2800;2019
2398-4945;Transactions of Mathematics and its Applications;Open Access;0;2019
2573-2102;Translational Animal Science;Open Access;2200;2019
1758-4469;Tree Physiology;Hybrid;3213;2019
1363-1780;"Trusts &amp; Trustees";Hybrid;3308;2019
0955-2359;Twentieth Century British History;Hybrid;3308;2019
1124-3694;Uniform Law Review;Hybrid;3308;2019
2057-1577;Virus Evolution;Open Access;2520;2019
2054-4650;Work, Aging and Retirement;Hybrid;3400;2019
0263-3264;Yearbook of European Law;Hybrid;3308;2019
0965-1721;Yearbook of International Environmental Law;Hybrid;3310;2019
0024-4082;Zoological Journal of the Linnean Society;Hybrid;2940;2019
