issn;journal_title;oa_mode;apc;year
1687-9392;International Journal of Optics;Open Access;1350;2020
1687-921X;International Journal of Otolaryngology;Open Access;750;2020
1687-9759;International Journal of Pediatrics;Open Access;950;2020
1687-529X;International Journal of Photoenergy;Open Access;1650;2020
1687-9430;International Journal of Polymer Science;Open Access;1650;2020
1687-7209;International Journal of Reconfigurable Computing;Open Access;950;2020
2314-5757;International Journal of Reproductive Medicine;Open Access;750;2020
1687-9279;International Journal of Rheumatology;Open Access;950;2020
1542-3034;International Journal of Rotating Machinery;Open Access;950;2020
2090-1410;International Journal of Surgical Oncology;Open Access;950;2020
1687-6423;International Journal of Telemedicine and Applications;Open Access;950;2020
2090-2832;International Journal of Vascular Medicine;Open Access;950;2020
1687-8485;International Journal of Zoology;Open Access;775;2020
2090-7850;Journal of Addiction;Open Access;750;2020
2042-3195;Journal of Advanced Transportation;Open Access;2200;2020
2090-2212;Journal of Aging Research;Open Access;750;2020
2090-8873;Journal of Analytical Methods in Chemistry;Open Access;1650;2020
1687-0042;Journal of Applied Mathematics;Open Access;1000;2020
1687-8566;Journal of Cancer Epidemiology;Open Access;950;2020
2090-9071;Journal of Chemistry;Open Access;1650;2020
2090-1976;Journal of Combustion;Open Access;950;2020
2090-715X;Journal of Computer Networks and Communications;Open Access;1350;2020
1687-5257;Journal of Control Science and Engineering;Open Access;1350;2020
2314-6753;Journal of Diabetes Research;Open Access;2050;2020
2090-0155;Journal of Electrical and Computer Engineering;Open Access;1350;2020
2314-615X;Journal of Energy;Open Access;750;2020
2314-4912;Journal of Engineering;Open Access;1350;2020
1687-9813;Journal of Environmental and Public Health;Open Access;1350;2020
1745-4557;Journal of Food Quality;Open Access;2050;2020
2314-8888;Journal of Function Spaces;Open Access;2050;2020
2040-2309;Journal of Healthcare Engineering;Open Access;2050;2020
2314-7156;Journal of Immunology Research;Open Access;2050;2020
1540-8183;Journal of Interventional Cardiology;Open Access;1950;2020
2090-3049;Journal of Lipids;Open Access;950;2020
2633-4674;Journal of Marine Sciences;Open Access;750;2020
2314-4785;Journal of Mathematics;Open Access;1350;2020
1687-4129;Journal of Nanomaterials;Open Access;2050;2020
1687-9511;Journal of Nanotechnology;Open Access;950;2020
2090-021X;Journal of Nucleic Acids;Open Access;950;2020
2090-0732;Journal of Nutrition and Metabolism;Open Access;950;2020
2090-0716;Journal of Obesity;Open Access;950;2020
1687-8469;Journal of Oncology;Open Access;1950;2020
2090-0058;Journal of Ophthalmology;Open Access;2200;2020
2314-6486;Journal of Optimization;Open Access;1000;2020
2042-0064;Journal of Osteoporosis;Open Access;950;2020
2090-0031;Journal of Parasitology Research;Open Access;750;2020
2090-3065;Journal of Pathogens;Open Access;950;2020
2090-2735;Journal of Pregnancy;Open Access;950;2020
1687-9538;Journal of Probability and Statistics;Open Access;1000;2020
2314-4394;Journal of Renewable Energy;Open Access;750;2020
1687-9619;Journal of Robotics;Open Access;950;2020
1687-7268;Journal of Sensors;Open Access;2050;2020
2090-2913;Journal of Skin Cancer;Open Access;950;2020
2314-4939;Journal of Spectroscopy;Open Access;1650;2020
2314-6176;Journal of Sports Medicine;Open Access;750;2020
2042-0072;Journal of Thyroid Research;Open Access;950;2020
1687-8205;Journal of Toxicology;Open Access;950;2020
2090-0015;Journal of Transplantation;Open Access;950;2020
1687-9694;Journal of Tropical Medicine;Open Access;1350;2020
1563-5147;Mathematical Problems in Engineering;Open Access;2200;2020
1466-1861;Mediators of Inflammation;Open Access;2050;2020
2090-1453;Minimally Invasive Surgery;Open Access;950;2020
1875-905X;Mobile Information Systems;Open Access;2050;2020
1687-5605;Modelling and Simulation in Engineering;Open Access;950;2020
2090-2662;Multiple Sclerosis International;Open Access;950;2020
1687-5443;Neural Plasticity;Open Access;1950;2020
2090-1860;Neurology Research International;Open Access;950;2020
2090-1437;Nursing Research and Practice;Open Access;950;2020
1687-9597;Obstetrics and Gynecology International;Open Access;950;2020
1557-0703;Occupational Therapy International;Open Access;1350;2020
1942-0994;Oxidative Medicine and Cellular Longevity;Open Access;2200;2020
1918-1523;Pain Research and Management;Open Access;2050;2020
2042-0080;Parkinson’s Disease;Open Access;1650;2020
1687-4765;PPAR Research;Open Access;1650;2020
2090-312X;Prostate Cancer;Open Access;950;2020
1687-7438;Psyche: A Journal of Entomology;Open Access;950;2020
2314-4335;Psychiatry Journal;Open Access;750;2020
2090-1844;Pulmonary Medicine;Open Access;950;2020
2090-195X;Radiology Research and Practice;Open Access;950;2020
2090-2875;Rehabilitation Research and Practice;Open Access;950;2020
1369-1643;Sarcoma;Open Access;750;2020
1932-8745;Scanning;Open Access;1350;2020
2090-2093;Schizophrenia Research and Treatment;Open Access;950;2020
1687-6083;Science and Technology of Nuclear Installations;Open Access;1350;2020
1875-919X;Scientific Programming;Open Access;1650;2020
2090-908X;Scientifica;Open Access;950;2020
1939-0122;Security and Communication Networks;Open Access;2050;2020
1875-9203;Shock and Vibration;Open Access;2200;2020
2090-3553;Sleep Disorders;Open Access;750;2020
1687-9678;Stem Cells International;Open Access;2150;2020
2042-0056;Stroke Research and Treatment;Open Access;950;2020
2356-6124;Surgery Research and Practice;Open Access;750;2020
1537-744X;The Scientific World Journal;Open Access;750;2020
2090-1518;Tuberculosis Research and Treatment;Open Access;750;2020
2042-0048;Veterinary Medicine International;Open Access;750;2020
1530-8677;Wireless Communications and Mobile Computing;Open Access;2200;2020
