issn;journal_title;oa_mode;apc;year
2251-712X;Journal of Industrial Engineering International ;Open Access;790;2012
1029-242X;Journal of Inequalities and Applications;Open Access;1005;2012
2192-5372;Journal of Innovation and Entrepreneurship;Open Access;755;2012
2194-0827;Journal of Interaction Science;Open Access;1255;2012
2190-5983;Journal of Mathematics in Industry;Open Access;0;2012
2193-8865;Journal of Nanostructure in Chemistry ;Open Access;0;2012
1869-5760;Journal of Ophthalmic Inflammation and Infection ;Open Access;0;2012
1590-9999;Journal of Orthopaedics and Traumatology ;Open Access;0;2012
2190-0566;Journal of Petroleum Exploration and Production Technologies ;Open Access;1005;2012
2210-4690;Journal of Remanufacturing;Open Access;0;2012
2251-7235;Journal of Theoretical and Applied Physics ;Open Access;1005;2012
2212-9790;Maritime Studies;Open Access;0;2012
2194-1467;Materials for Renewable and Sustainable Energy ;Open Access;0;2012
2251-7456;Mathematical Sciences  ;Open Access;1005;2012
2191-5059;Multilingual Education;Open Access;1005;2012
1556-276X;Nanoscale Research Letters;Open Access;0;2012
2192-2209;Natural Products and Bioprospecting ;Open Access;1005;2012
2192-2853;Optical Nanoscopy;Open Access;1255;2012
2191-2858;Organic and Medicinal Chemistry Letters;Open Access;1255;2012
2041-7136;Pastoralism: Research, Policy and Practice;Open Access;0;2012
2190-7439;Photonic Sensors ;Open Access;1255;2012
2191-2521;Planetary Science;Open Access;0;2012
1615-6617;Poiesis & Praxis ;Open Access;0;2012
2194-0517;Progress in Biomaterials ;Open Access;1005;2012
2211-1522;Psychology of Well-Being: Theory, Research and Practice;Open Access;1570;2012
1939-8433;Rice;Open Access;0;2012
1862-2798;Science China Life Sciences ;Open Access;1005;2012
2190-8532;Security Informatics;Open Access;0;2012
1869-4187;SERIEs ;Open Access;1065;2012
2193-1801;SpringerPlus;Open Access;0;2012
1828-8928;Strategies in Trauma and Limb Reconstruction ;Open Access;1570;2012
1877-6566;The HUGO Journal;Open Access;0;2012
1129-2377;The Journal of Headache and Pain ;Open Access;1255;2012
2190-8567;The Journal of Mathematical Neuroscience;Open Access;1570;2012
2213-0802;Translational Respiratory Medicine;Open Access;;2012
2190-5738;3 Biotech ;Open Access;0;2013
2213-7467;Advanced Modeling and Simulation in Engineering Sciences;Open Access;325;2013
1687-1847;Advances in Difference Equations;Open Access;735;2013
2193-7532;Agricultural and Food Economics;Open Access;130;2013
2191-0855;AMB Express;Open Access;1965;2013
2110-5820;Annals of Intensive Care;Open Access;1720;2013
2196-4351;Applied Adhesion Science;Open Access;655;2013
2190-5517;Applied Nanoscience ;Open Access;0;2013
2190-5533;Applied Petrochemical Research ;Open Access;0;2013
2190-5495;Applied Water Science ;Open Access;0;2013
2193-5351;Arabian Journal of Mathematics ;Open Access;0;2013
2196-1166;Asia Pacific Journal on Computational Engineering;Open Access;1310;2013
2195-3007;Asian Journal of Gambling Issues and Public Health;Open Access;1045;2013
1559-4106;Biointerphases;Open Access;1045;2013
1999-3110;Botanical Studies  ;Open Access;0;2013
1687-2770;Boundary Value Problems;Open Access;735;2013
2196-288X;Brazilian Journal of Science and Technology;Open Access;655;2013
1664-3615;Bulletin of Mathematical Sciences ;Open Access;0;2013
1861-9541;Chinese Science Bulletin ;Open Access;0;2013
2195-2701;City, Territory and Architecture ;Open Access;0;2013
2001-1326;Clinical and Translational Medicine;Open Access;1720;2013
2192-1121;Communications in Mobile Computing;Open Access;890;2013
2194-3206;Complex Adaptive Systems Modeling;Open Access;1100;2013
2195-3961;Computational Cognitive Science ;Open Access;0;2013
2193-7680;Crime Science;Open Access;1100;2013
2194-9794;Crisis Communications;Open Access;1310;2013
2036-7902;Critical Ultrasound Journal;Open Access;1720;2013
2193-8636;Decision Analytics;Open Access;1100;2013
2194-6434;Earth Perspectives;Open Access;1310;2013
2192-1709;Ecological Processes;Open Access;1100;2013
2191-219X;EJNMMI Research;Open Access;1510;2013
1877-6345;Empirical Research in Vocational Education and Training ;Open Access;0;2013
2192-0567;Energy, Sustainability and Society;Open Access;1100;2013
2190-4715;Environmental Sciences Europe;Open Access;1100;2013
2193-2697;Environmental Systems Research;Open Access;1100;2013
2193-1127;EPJ Data Science;Open Access;1310;2013
2195-0008;EPJ Nonlinear Biomedical Physics;Open Access;1310;2013
2196-0763;EPJ Quantum Technology;Open Access;1310;2013
2195-7045;EPJ Techniques and Instrumentation;Open Access;1310;2013
1687-6180;EURASIP Journal on Advances in Signal Processing;Open Access;1375;2013
1687-4722;EURASIP Journal on Audio, Speech, and Music Processing;Open Access;980;2013
1687-4153;EURASIP Journal on Bioinformatics and Systems Biology;Open Access;685;2013
1687-3963;EURASIP Journal on Embedded Systems;Open Access;915;2013
1687-5281;EURASIP Journal on Image and Video Processing;Open Access;1080;2013
1687-4161;EURASIP Journal on Information Security;Open Access;655;2013
1687-1499;EURASIP Journal on Wireless Communications and Networking;Open Access;1440;2013
2195-2248;European Journal of Futures Research ;Open Access;0;2013
1866-8887;European Transport Research Review ;Open Access;0;2013
1936-6434;Evolution: Education and Outreach;Open Access;1635;2013
2193-0414;Fire Science Reviews;Open Access;1375;2013
1687-1812;Fixed Point Theory and Applications;Open Access;885;2013
2223-7704;Friction ;Open Access;0;2013
2196-419X;Functional Linguistics ;Open Access;0;2013
2196-4092;Geoscience Letters;Open Access;1045;2013
2195-9706;Geothermal Energy ;Open Access;0;2013
2190-7579;Gold Bulletin ;Open Access;0;2013
2194-7899;Health and Justice;Open Access;1100;2013
2191-1991;Health Economics Review;Open Access;1045;2013
2192-1962;Human-centric Computing and Information Sciences ;Open Access;0;2013
2196-050X;In Silico Cell and Tissue Science;Open Access;1045;2013
2193-9616;In Silico Pharmacology;Open Access;1310;2013
2196-3258;Infrastructure Complexity;Open Access;1310;2013
1869-4101;Insights into Imaging ;Open Access;0;2013
2193-9772;Integrating Materials and Manufacturing Innovation ;Open Access;0;2013
2008-6970;International Aquatic Research ;Open Access;0;2013
2008-6695;International Journal of Advanced Structural Engineering ;Open Access;0;2013
2194-7511;International Journal of Bipolar Disorders;Open Access;1635;2013
2234-1315;International Journal of Concrete Structures and Materials ;Open Access;0;2013
2192-6395;International Journal of Disaster Risk Science ;Open Access;0;2013
1865-1380;International Journal of Emergency Medicine;Open Access;1420;2013
2251-6832;International Journal of Energy and Environmental Engineering ;Open Access;0;2013
2196-2804;International Journal of Food Contamination;Open Access;1700;2013
2228-5547;International Journal of Industrial Chemistry ;Open Access;0;2013
2251-7715;International Journal Of Recycling of Organic Waste in Agriculture  ;Open Access;0;2013
2196-7822;International Journal of STEM Education;Open Access;1050;2013
2228-5326;International Nano Letters ;Open Access;0;2013
2051-5642;International Transactions on Systems Science and Applications;Open Access;1310;2013
2193-9012;IZA Journal of European Labor Studies ;Open Access;0;2013
2193-9020;IZA Journal of Labor & Development ;Open Access;0;2013
2193-8997;IZA Journal of Labor Economics ;Open Access;0;2013
2193-9004;IZA Journal of Labor Policy ;Open Access;0;2013
2193-9039;IZA Journal of Migration ;Open Access;0;2013
2227-8508;Journal of Advanced Ceramics;Open Access;1715;2013
2093-3371;Journal of Analytical Science and Technology ;Open Access;0;2013
2191-5040;Journal of Applied Volcanology;Open Access;1310;2013
2196-1115;Journal Of Big Data;Open Access;1100;2013
2195-9897;Journal of Chinese Management ;Open Access;0;2013
2192-113X;Journal of Cloud Computing: Advances, Systems and Applications;Open Access;825;2013
2194-3990;Journal of Computational Surgery;Open Access;1250;2013
2193-2409;Journal of Economic Structures;Open Access;1110;2013
2251-7316;Journal of Global Entrepreneurship Research  ;Open Access;0;2013
2251-712X;Journal of Industrial Engineering International ;Open Access;0;2013
1029-242X;Journal of Inequalities and Applications;Open Access;885;2013
2192-5372;Journal of Innovation and Entrepreneurship;Open Access;1100;2013
2194-0827;Journal of Interaction Science;Open Access;825;2013
1869-0238;Journal of Internet Services and Applications;Open Access;1045;2013
2190-5983;Journal of Mathematics in Industry;Open Access;1310;2013
2196-5420;Journal of Modern Power Systems and Clean Energy ;Open Access;0;2013
2196-0577;Journal of Modern Transportation  ;Open Access;0;2013
2193-8865;Journal of Nanostructure in Chemistry ;Open Access;0;2013
1869-5760;Journal of Ophthalmic Inflammation and Infection;Open Access;1635;2013
1590-9999;Journal of Orthopaedics and Traumatology ;Open Access;0;2013
2190-0566;Journal of Petroleum Exploration and Production Technologies ;Open Access;0;2013
2210-4690;Journal of Remanufacturing;Open Access;1100;2013
2195-1721;Journal of Software Engineering Research and Development;Open Access;1045;2013
2196-1107;Journal of Solid State Lighting;Open Access;1310;2013
2195-5832;Journal of Statistical Distributions and Applications;Open Access;1045;2013
2251-7235;Journal of Theoretical and Applied Physics ;Open Access;0;2013
2196-064X;Journal of Trust Management;Open Access;1045;2013
2195-5468;Journal of Uncertainty Analysis and Applications  ;Open Access;0;2013
2229-0443;Language Testing in Asia;Open Access;1045;2013
2196-0739;Large-scale Assessments in Education ;Open Access;0;2013
2196-436X;Latin American Economic Review  ;Open Access;0;2013
2195-7819;Life Sciences, Society and Policy ;Open Access;0;2013
2212-9790;Maritime Studies;Open Access;1045;2013
2194-1467;Materials for Renewable and Sustainable Energy ;Open Access;0;2013
2251-7456;Mathematical Sciences  ;Open Access;0;2013
2213-9621;Micro and Nano Systems Letters ;Open Access;0;2013
2191-5059;Multilingual Education;Open Access;1100;2013
1556-276X;Nanoscale Research Letters;Open Access;1150;2013
2192-2209;Natural Products and Bioprospecting ;Open Access;0;2013
1179-5395;New Zealand Journal of Forestry Science ;Open Access;0;2013
2192-2853;Optical Nanoscopy;Open Access;1100;2013
2191-2858;Organic and Medicinal Chemistry Letters;Open Access;1310;2013
2041-7136;Pastoralism: Research, Policy and Practice;Open Access;1310;2013
2190-7439;Photonic Sensors ;Open Access;0;2013
2191-2521;Planetary Science;Open Access;1310;2013
1615-6617;Poiesis & Praxis ;Open Access;0;2013
2194-0517;Progress in Biomaterials ;Open Access;0;2013
2196-1042;Progress in Orthodontics  ;Open Access;0;2013
2211-1522;Psychology of Well-Being: Theory, Research and Practice;Open Access;1045;2013
1939-8433;Rice;Open Access;1720;2013
2194-6876;Scalable Computing;Open Access;1100;2013
1862-2798;Science China Life Sciences ;Open Access;0;2013
2190-8532;Security Informatics;Open Access;1100;2013
1869-4187;SERIEs ;Open Access;0;2013
2193-1801;SpringerPlus;Open Access;1110;2013
1828-8928;Strategies in Trauma and Limb Reconstruction ;Open Access;0;2013
1877-6566;The HUGO Journal;Open Access;1720;2013
1129-2377;The Journal of Headache and Pain;Open Access;1635;2013
2190-8567;The Journal of Mathematical Neuroscience;Open Access;1375;2013
2213-0802;Translational Respiratory Medicine;Open Access;1720;2013
2213-7459;Visualization in Engineering;Open Access;1310;2013
1810-522X;Zoological Studies  ;Open Access;0;2013
2190-5738;3 Biotech ;Open Access;0;2014
2213-7467;Advanced Modeling and Simulation in Engineering Sciences;Open Access;350;2014
2198-0926;Advanced Structural and Chemical Imaging;Open Access;1390;2014
1687-1847;Advances in Difference Equations;Open Access;820;2014
2193-7532;Agricultural and Food Economics;Open Access;905;2014
2191-0855;AMB Express;Open Access;2085;2014
2110-5820;Annals of Intensive Care;Open Access;1935;2014
2196-4351;Applied Adhesion Science;Open Access;695;2014
2196-0089;Applied Informatics;Open Access;1390;2014
2190-5517;Applied Nanoscience ;Open Access;0;2014
2190-5533;Applied Petrochemical Research ;Open Access;0;2014
2190-5495;Applied Water Science ;Open Access;0;2014
2193-5351;Arabian Journal of Mathematics ;Open Access;0;2014
2196-1166;Asia Pacific Journal on Computational Engineering;Open Access;1460;2014
2195-3007;Asian Journal of Gambling Issues and Public Health;Open Access;1110;2014
2197-4365;Bioresources and Bioprocessing ;Open Access;0;2014
1999-3110;Botanical Studies  ;Open Access;0;2014
1687-2770;Boundary Value Problems;Open Access;820;2014
2196-288X;Brazilian Journal of Science and Technology;Open Access;735;2014
1664-3615;Bulletin of Mathematical Sciences ;Open Access;0;2014
1868-6966;Cancer Nanotechnology;Open Access;1390;2014
1750-0680;Carbon Balance and Management;Open Access;1170;2014
2196-5641;Chemical and Biological Technologies in Agriculture;Open Access;1390;2014
2196-5633;China Finance and Economic Review ;Open Access;0;2014
2195-2701;City, Territory and Architecture ;Open Access;0;2014
2001-1326;Clinical and Translational Medicine;Open Access;1935;2014
2192-1121;Communications in Mobile Computing;Open Access;915;2014
2194-3206;Complex Adaptive Systems Modeling;Open Access;1170;2014
2197-120X;Complex Analysis and its Synergies;Open Access;1110;2014
2197-7909;Computational Astrophysics and Cosmology;Open Access;1390;2014
2195-3961;Computational Cognitive Science ;Open Access;0;2014
2197-4314;Computational Social Networks;Open Access;1110;2014
2193-7680;Crime Science;Open Access;1170;2014
2194-9794;Crisis Communications;Open Access;1460;2014
2036-7902;Critical Ultrasound Journal;Open Access;1935;2014
2193-8636;Decision Analytics;Open Access;1170;2014
2194-6434;Earth Perspectives;Open Access;1460;2014
1880-5981;Earth, Planets and Space;Open Access;835;2014
2192-1709;Ecological Processes;Open Access;1225;2014
2197-7364;EJNMMI Physics;Open Access;1710;2014
2191-219X;EJNMMI Research;Open Access;1710;2014
1877-6345;Empirical Research in Vocational Education and Training ;Open Access;0;2014
2192-0567;Energy, Sustainability and Society;Open Access;1225;2014
2190-4715;Environmental Sciences Europe;Open Access;1225;2014
2193-2697;Environmental Systems Research;Open Access;1225;2014
2193-1127;EPJ Data Science;Open Access;1390;2014
2195-0008;EPJ Nonlinear Biomedical Physics;Open Access;1390;2014
2196-0763;EPJ Quantum Technology;Open Access;1390;2014
2195-7045;EPJ Techniques and Instrumentation;Open Access;1390;2014
1687-6180;EURASIP Journal on Advances in Signal Processing;Open Access;1460;2014
1687-4722;EURASIP Journal on Audio, Speech, and Music Processing;Open Access;1045;2014
1687-4153;EURASIP Journal on Bioinformatics and Systems Biology;Open Access;730;2014
1687-3963;EURASIP Journal on Embedded Systems;Open Access;975;2014
1687-5281;EURASIP Journal on Image and Video Processing;Open Access;1145;2014
1687-4161;EURASIP Journal on Information Security;Open Access;695;2014
1687-1499;EURASIP Journal on Wireless Communications and Networking;Open Access;1530;2014
2195-2248;European Journal of Futures Research ;Open Access;0;2014
1866-8887;European Transport Research Review ;Open Access;0;2014
1936-6434;Evolution: Education and Outreach;Open Access;1850;2014
2198-0802;Fashion and Textiles;Open Access;1945;2014
2193-0414;Fire Science Reviews;Open Access;1530;2014
1687-1812;Fixed Point Theory and Applications;Open Access;985;2014
2197-5620;Forest Ecosystems ;Open Access;0;2014
2223-7704;Friction ;Open Access;0;2014
2196-419X;Functional Linguistics ;Open Access;0;2014
2197-8670;Geoenvironmental Disasters;Open Access;1110;2014
2196-4092;Geoscience Letters;Open Access;1170;2014
2195-9706;Geothermal Energy ;Open Access;0;2014
2190-7579;Gold Bulletin ;Open Access;0;2014
2194-7899;Health & Justice;Open Access;1170;2014
2191-1991;Health Economics Review;Open Access;1170;2014
2192-1962;Human-centric Computing and Information Sciences ;Open Access;0;2014
2196-050X;In Silico Cell and Tissue Science;Open Access;1170;2014
2193-9616;In Silico Pharmacology;Open Access;1460;2014
2196-3258;Infrastructure Complexity;Open Access;1390;2014
2197-1714;Injury Epidemiology;Open Access;1110;2014
1869-4101;Insights into Imaging ;Open Access;0;2014
2193-9772;Integrating Materials and Manufacturing Innovation ;Open Access;0;2014
2197-425X;Intensive Care Medicine Experimental;Open Access;1740;2014
2008-6970;International Aquatic Research ;Open Access;0;2014
2008-6695;International Journal of Advanced Structural Engineering ;Open Access;0;2014
2194-7511;International Journal of Bipolar Disorders;Open Access;1850;2014
2234-1315;International Journal of Concrete Structures and Materials ;Open Access;0;2014
2196-8802;International Journal of Dharma Studies ;Open Access;0;2014
2192-6395;International Journal of Disaster Risk Science ;Open Access;0;2014
1865-1380;International Journal of Emergency Medicine;Open Access;1420;2014
2251-6832;International Journal of Energy and Environmental Engineering ;Open Access;0;2014
2196-2804;International Journal of Food Contamination;Open Access;1810;2014
2228-5547;International Journal of Industrial Chemistry ;Open Access;0;2014
2198-2791;International Journal of Mechanical and Materials Engineering;Open Access;1945;2014
2251-7715;International Journal Of Recycling of Organic Waste in Agriculture;Open Access;1945;2014
2196-7822;International Journal of STEM Education;Open Access;1050;2014
2228-5326;International Nano Letters ;Open Access;0;2014
2051-5642;International Transactions on Systems Science and Applications;Open Access;1460;2014
2193-9012;IZA Journal of European Labor Studies;Open Access;1110;2014
2193-9020;IZA Journal of Labor & Development;Open Access;1110;2014
2193-8997;IZA Journal of Labor Economics;Open Access;1110;2014
2193-9004;IZA Journal of Labor Policy;Open Access;1110;2014
2193-9039;IZA Journal of Migration;Open Access;1110;2014
2227-8508;Journal of Advanced Ceramics;Open Access;1945;2014
2093-3371;Journal of Analytical Science and Technology ;Open Access;0;2014
2191-5040;Journal of Applied Volcanology;Open Access;1390;2014
2196-1115;Journal Of Big Data;Open Access;1100;2014
1863-2548;Journal of Childrens Orthopaedics;Open Access;1945;2014
2195-9897;Journal of Chinese Management ;Open Access;0;2014
2192-113X;Journal of Cloud Computing: Advances, Systems and Applications;Open Access;920;2014
2194-3990;Journal of Computational Surgery;Open Access;1395;2014
2193-2409;Journal of Economic Structures ;Open Access;0;2014
2197-1153;Journal of Experimental Orthopaedics;Open Access;1740;2014
2197-7917;Journal of Frugal Innovation;Open Access;1110;2014
2251-7316;Journal of Global Entrepreneurship Research  ;Open Access;0;2014
2251-712X;Journal of Industrial Engineering International ;Open Access;0;2014
1029-242X;Journal of Inequalities and Applications;Open Access;985;2014
2192-5372;Journal of Innovation and Entrepreneurship;Open Access;1170;2014
2194-0827;Journal of Interaction Science;Open Access;920;2014
1869-0238;Journal of Internet Services and Applications;Open Access;1170;2014
2190-5983;Journal of Mathematics in Industry;Open Access;1455;2014
2196-5420;Journal of Modern Power Systems and Clean Energy ;Open Access;0;2014
2196-0577;Journal of Modern Transportation  ;Open Access;0;2014
2193-8865;Journal of Nanostructure in Chemistry ;Open Access;0;2014
1869-5760;Journal of Ophthalmic Inflammation and Infection;Open Access;1850;2014
1590-9999;Journal of Orthopaedics and Traumatology ;Open Access;0;2014
2190-0566;Journal of Petroleum Exploration and Production Technologies ;Open Access;0;2014
2210-4690;Journal of Remanufacturing;Open Access;1225;2014
2195-1721;Journal of Software Engineering Research and Development;Open Access;1170;2014
2196-1107;Journal of Solid State Lighting;Open Access;1390;2014
2195-5832;Journal of Statistical Distributions and Applications;Open Access;1170;2014
1678-4804;Journal of the Brazilian Computer Society;Open Access;1110;2014
2251-7235;Journal of Theoretical and Applied Physics ;Open Access;0;2014
2196-064X;Journal of Trust Management;Open Access;1170;2014
2195-5468;Journal of Uncertainty Analysis and Applications  ;Open Access;0;2014
2229-0443;Language Testing in Asia;Open Access;1110;2014
2196-0739;Large-scale Assessments in Education ;Open Access;0;2014
2196-436X;Latin American Economic Review  ;Open Access;0;2014
2195-7819;Life Sciences Society and Policy ;Open Access;0;2014
1865-0368;Logistics Research;Open Access;1945;2014
2212-9790;Maritime Studies;Open Access;1170;2014
2194-1467;Materials for Renewable and Sustainable Energy ;Open Access;0;2014
2251-7456;Mathematical Sciences ;Open Access;0;2014
2213-9621;Micro and Nano Systems Letters ;Open Access;0;2014
2194-7791;Molecular and Cellular Pediatrics ;Open Access;0;2014
2191-5059;Multilingual Education;Open Access;1170;2014
2196-5404;Nano Convergence ;Open Access;0;2014
1556-276X;Nanoscale Research Letters;Open Access;1390;2014
2192-2209;Natural Products and Bioprospecting ;Open Access;0;2014
1179-5395;New Zealand Journal of Forestry Science ;Open Access;0;2014
2197-375X;NRL Advances;Open Access;1390;2014
2192-2853;Optical Nanoscopy;Open Access;1225;2014
2191-2858;Organic and Medicinal Chemistry Letters;Open Access;1390;2014
2041-7136;Pastoralism: Research, Policy and Practice;Open Access;1460;2014
2190-7439;Photonic Sensors ;Open Access;0;2014
2191-2521;Planetary Science;Open Access;1390;2014
2194-0517;Progress in Biomaterials ;Open Access;0;2014
2197-4284;Progress in Earth and Planetary Science;Open Access;1390;2014
2196-1042;Progress in Orthodontics  ;Open Access;0;2014
1674-8018;Protein & Cell;Open Access;1945;2014
2211-1522;Psychology of Well-Being: Theory, Research and Practice;Open Access;1110;2014
2197-9847;Research in the Mathematical Sciences;Open Access;1110;2014
0717-6317;Revista Chilena de Historia Natural;Open Access;1865;2014
1939-8433;Rice;Open Access;1935;2014
2197-4225;ROBOMECH Journal;Open Access;1320;2014
2197-3768;Robotics and Biomimetics;Open Access;1390;2014
2194-6876;Scalable Computing;Open Access;1170;2014
1862-2798;Science China Life Sciences ;Open Access;0;2014
2190-8532;Security Informatics;Open Access;1170;2014
1869-4187;SERIEs ;Open Access;0;2014
2196-7091;Smart Learning Environments;Open Access;1110;2014
2193-1801;SpringerPlus;Open Access;1210;2014
1828-8928;Strategies in Trauma and Limb Reconstruction ;Open Access;0;2014
2197-9936;Textiles and Clothing Sustainability;Open Access;1110;2014
1877-6566;The HUGO Journal;Open Access;1935;2014
1129-2377;The Journal of Headache and Pain;Open Access;1850;2014
2190-8567;The Journal of Mathematical Neuroscience;Open Access;1460;2014
2213-0802;Translational Respiratory Medicine;Open Access;1935;2014
2197-1927;Triple Helix  ;Open Access;0;2014
2196-8896;Vietnam Journal of Computer Science ;Open Access;0;2014
2213-7459;Visualization in Engineering;Open Access;1460;2014
1810-522X;Zoological Studies  ;Open Access;0;2014
