issn;journal_title;oa_mode;apc;year
0895-7061;American Journal of Hypertension;Hybrid;3200;2012
1745-7254;APS (Acta Pharmacologica Sinica);Hybrid;3300;2012
1008-682X;Asian Journal of Andrology;Hybrid;3300;2012
1532-1827;BJC (British Journal of Cancer);Hybrid;2620;2012
2044-5385;Blood Cancer Journal ;Open Access;3300;2012
0268-3369;Bone Marrow Transplantation;Hybrid;3300;2012
0929-1903;Cancer Gene Therapy;Hybrid;3300;2012
1350-9047;Cell Death & Differentiation;Hybrid;3300;2012
2041-4889;Cell Death & Disease;Open Access;3000;2012
1748-7838;Cell Research;Hybrid;3300;2012
1672-7681;Cellular & Molecular Immunology;Hybrid;3300;2012
2155-384X;Clinical and Translational Gastroenterology;Open Access;3200;2012
2050-0068;Clinical and Translational Immunology;Open Access;3300;2012
0009-9236;Clinical Pharmacology & Therapeutics;Hybrid;3000;2012
2163-8306;CPT: Pharmacometrics & Systems;Open Access;3000;2012
1469-3178;EMBO reports;Hybrid;3900;2012
2222-1751;Emerging Microbes and Infections;Open Access;3300;2012
0954-3007;European Journal of Clinical Nutrition;Hybrid;3300;2012
1476-5438;European Journal of Human Genetics;Hybrid;3000;2012
0078-5334;Eye;Hybrid;3300;2012
0969-7128;Gene Therapy;Hybrid;3300;2012
1466-4879;Genes and Immunity;Hybrid;3400;2012
1530-0366;Genetics in Medicine;Hybrid;3500;2012
0018-067X;Heredity;Hybrid;3000;2012
1348-4214;Hypertension Research;Hybrid;3300;2012
0818-9641;Immunology & Cell Biology;Hybrid;3300;2012
0955-9930;International Journal of Impotence Research;Hybrid;3300;2012
0307-0565;International Journal of Obesity;Hybrid;3300;2012
2049-3169;International Journal of Oral Science;Open Access;3975;2012
0271-678X;Journal of Cerebral Blood Flow & Metabolism;Hybrid;2500;2012
1559-064X;Journal of Exposure Science and Environmental Epidemiology;Hybrid;3300;2012
0950-9240;Journal of Human Hypertension;Hybrid;3300;2012
0022-202X;Journal of Investigative Dermatology;Hybrid;3300;2012
0743-8346;Journal of Perinatology;Hybrid;3300;2012
0085-2538;Kidney International;Hybrid;3200;2012
1530-0307;Laboratory Investigation;Hybrid;3200;2012
1476-5551;Leukemia;Hybrid;3300;2012
?2095-5545;Light: Science & Applications;Open Access;3975;2012
1530-0285;Modern Pathology;Hybrid;3200;2012
1359-4184;Molecular Psychiatry;Hybrid;3600;2012
1744-4292;Molecular Systems Biology;Open Access;3900;2012
1525-0016 ;Molecular Therapy;Hybrid;2500;2012
2162-2531;Molecular Therapy: Nucleic Acids;Open Access;2500;2012
1935-3456;Mucosal Immunology;Hybrid;3200;2012
2041-1723;Nature Communications;Hybrid;5000;2012
1740-634X;Neuropsychopharmacology;Hybrid;3200;2012
1884-4049;NPG Asia Materials;Open Access;2925;2012
2044-4052;Nutrition & Diabetes;Open Access;3300;2012
1930-7381;Obesity;Hybrid;3200;2012
0950-9232;Oncogene;Hybrid;3300;2012
2157-9024;Oncogenesis;Open Access;3300;2012
1530-0447;Pediatric Research;Hybrid;3200;2012
1349-0540;Polymer Journal;Hybrid;3300;2012
1365-7852;Prostate Cancer and Prostatic Diseases;Hybrid;3300;2012
2045-2322;Scientific Reports;Open Access;1350;2012
1362-4393;Spinal Cord;Hybrid;3000;2012
1572-0241;The American Journal of Gastroenterology;Hybrid;3200;2012
1460-2075;The EMBO Journal;Hybrid;3900;2012
1751-7370;The ISME Journal;Hybrid;3300;2012
0021-8820;The Journal of Antibotics;Hybrid;3300;2012
1473-1150;The Pharmacogenomics Journal;Hybrid;3400;2012
2158-3188;Translational Psychiatry;Open Access;3600;2012
1745-7254;APS (Acta Pharmacologica Sinica);Hybrid;3300;2013
1008-682X;Asian Journal of Andrology;Hybrid;3300;2013
0007-0610;BDJ (British Dental Journal);Hybrid;4025;2013
1532-1827;BJC (British Journal of Cancer);Hybrid;2620;2013
2044-5385;Blood Cancer Journal;Open Access;3500;2013
0268-3369;Bone Marrow Transplantation;Hybrid;3300;2013
0929-1903;Cancer Gene Therapy;Hybrid;3300;2013
1350-9047;Cell Death & Differentiation;Hybrid;3300;2013
2041-4889;Cell Death & Disease;Open Access;3300;2013
1748-7838;Cell Research;Hybrid;3300;2013
1672-7681;Cellular & Molecular Immunology;Hybrid;3300;2013
2050-0068;Clinical & Translational Immunology;Open Access;4400;2013
2155-384X;Clinical and Translational Gastroenterology;Open Access;3200;2013
0009-9236;Clinical Pharmacology & Therapeutics;Hybrid;3000;2013
2163-8306;CPT: Pharmacometrics & Systems Pharmacology;Open Access;3000;2013
1469-3178;EMBO reports;Hybrid;3900;2013
2222-1751;Emerging Microbes and Infections;Open Access;4400;2013
0954-3007;European Journal of Clinical Nutrition;Hybrid;3300;2013
1476-5438;European Journal of Human Genetics;Hybrid;3000;2013
2092-6413;Experimental & Molecular Medicine;Open Access;3975;2013
0078-5334;Eye;Hybrid;3300;2013
0969-7128;Gene Therapy;Hybrid;3300;2013
1466-4879;Genes and Immunity;Hybrid;3400;2013
1530-0366;Genetics in Medicine;Hybrid;3500;2013
0018-067X;Heredity;Hybrid;3000;2013
1348-4214;Hypertension Research;Hybrid;3300;2013
0818-9641;Immunology & Cell Biology;Hybrid;3300;2013
0955-9930;International Journal of Impotence Research;Hybrid;3300;2013
0307-0565;International Journal of Obesity;Hybrid;3300;2013
2049-3169;International Journal of Oral Science;Open Access;3975;2013
0271-678X;Journal of Cerebral Blood Flow & Metabolism;Hybrid;2500;2013
1559-064X;Journal of Exposure Science and Environmental Epidemiology;Hybrid;3300;2013
1435-232X;Journal of Human Genetics;Hybrid;;2013
0950-9240;Journal of Human Hypertension;Hybrid;3300;2013
0022-202X;Journal of Investigative Dermatology;Hybrid;3300;2013
0743-8346;Journal of Perinatology;Hybrid;3300;2013
0085-2538;Kidney International;Hybrid;3200;2013
1530-0307;Laboratory Investigation;Hybrid;3200;2013
1476-5551;Leukemia;Hybrid;3300;2013
?2095-5545;Light: Science & Applications;Open Access;4400;2013
1530-0285;Modern Pathology;Hybrid;3200;2013
1359-4184;Molecular Psychiatry;Hybrid;3600;2013
1744-4292;Molecular Systems Biology;Open Access;3900;2013
1525-0016 ;Molecular Therapy;Hybrid;3200;2013
2162-2531;Molecular Therapy: Nucleic Acids;Open Access;2600;2013
1935-3456;Mucosal Immunology;Hybrid;3200;2013
2041-1723;Nature Communications;Hybrid;4800;2013
1740-634X;Neuropsychopharmacology;Hybrid;3200;2013
1884-4049;NPG Asia Materials;Open Access;3975;2013
2044-4052;Nutrition & Diabetes;Open Access;;2013
0950-9232;Oncogene;Hybrid;3300;2013
2157-9024;Oncogenesis;Open Access;3500;2013
1530-0447;Pediatric Research;Hybrid;3200;2013
1349-0540;Polymer Journal;Hybrid;3300;2013
1365-7852;Prostate Cancer and Prostatic Diseases;Hybrid;3300;2013
2045-2322;Scientific Reports;Open Access;1350;2013
1362-4393;Spinal Cord;Hybrid;3000;2013
1572-0241;The American Journal of Gastroenterology;Hybrid;3200;2013
1460-2075;The EMBO Journal;Hybrid;3900;2013
1751-7370;The ISME Journal;Hybrid;3300;2013
0021-8820;The Journal of Antibotics;Hybrid;3300;2013
1473-1150;The Pharmacogenomics Journal;Hybrid;3400;2013
2158-3188;Translational Psychiatry;Open Access;;2013
1745-7254;APS (Acta Pharmacologica Sinica);Hybrid;3300;2014
0007-0610;BDJ (British Dental Journal);Hybrid;4025;2014
1532-1827;BJC (British Journal of Cancer);Hybrid;2620;2014
2044-5385;Blood Cancer Journal;Open Access;3500;2014
0268-3369;Bone Marrow Transplantation;Hybrid;3300;2014
0929-1903;Cancer Gene Therapy;Hybrid;3300;2014
1350-9047;Cell Death & Differentiation;Hybrid;3300;2014
2041-4889;Cell Death & Disease;Open Access;3200;2014
1748-7838;Cell Research;Hybrid;3300;2014
1672-7681;Cellular & Molecular Immunology;Hybrid;3300;2014
2050-0068;Clinical & Translational Immunology;Open Access;4400;2014
2155-384X;Clinical and Translational Gastroenterology;Open Access;3200;2014
0009-9236;Clinical Pharmacology & Therapeutics;Hybrid;3000;2014
2163-8306;CPT: Pharmacometrics & Systems Pharmacology;Open Access;3300;2014
2222-1751;Emerging Microbes and Infections;Open Access;4400;2014
0954-3007;European Journal of Clinical Nutrition;Hybrid;3300;2014
1476-5438;European Journal of Human Genetics;Hybrid;3000;2014
2092-6413;Experimental & Molecular Medicine;Open Access;4400;2014
0078-5334;Eye;Hybrid;3300;2014
0969-7128;Gene Therapy;Hybrid;3300;2014
1466-4879;Genes and Immunity;Hybrid;3400;2014
1530-0366;Genetics in Medicine;Hybrid;3500;2014
0018-067X;Heredity;Hybrid;3000;2014
2052-7276;Horticulture Research;Open Access;3300;2014
2054-345X;Human Genome Variation;Open Access;3300;2014
1348-4214;Hypertension Research;Hybrid;3300;2014
0818-9641;Immunology & Cell Biology;Hybrid;3300;2014
0955-9930;International Journal of Impotence Research;Hybrid;3300;2014
0307-0565;International Journal of Obesity;Hybrid;3300;2014
2049-3169;International Journal of Oral Science;Open Access;4400;2014
0271-678X;Journal of Cerebral Blood Flow & Metabolism;Hybrid;2500;2014
1559-064X;Journal of Exposure Science and Environmental Epidemiology;Hybrid;3300;2014
1435-232X;Journal of Human Genetics;Hybrid;;2014
0950-9240;Journal of Human Hypertension;Hybrid;3300;2014
0022-202X;Journal of Investigative Dermatology;Hybrid;3300;2014
0743-8346;Journal of Perinatology;Hybrid;3300;2014
0085-2538;Kidney International;Hybrid;3200;2014
1530-0307;Laboratory Investigation;Hybrid;3200;2014
1476-5551;Leukemia;Hybrid;3300;2014
?2095-5545;Light: Science & Applications;Open Access;4400;2014
1530-0285;Modern Pathology;Hybrid;3200;2014
1359-4184;Molecular Psychiatry;Hybrid;3600;2014
1525-0016 ;Molecular Therapy;Hybrid;3200;2014
2329-0501;Molecular Therapy — Methods & Clinical Development;Open Access;3500;2014
2162-2531;Molecular Therapy — Nucleic Acids;Open Access;2600;2014
1935-3456;Mucosal Immunology;Hybrid;3200;2014
2041-1723;Nature Communications;Hybrid;5200;2014
1740-634X;Neuropsychopharmacology;Hybrid;3200;2014
1884-4049;NPG Asia Materials;Open Access;;2014
2044-4052;Nutrition & Diabetes;Open Access;3500;2014
0950-9232;Oncogene;Hybrid;3300;2014
2157-9024;Oncogenesis;Open Access;3500;2014
1530-0447;Pediatric Research;Hybrid;3200;2014
1349-0540;Polymer Journal;Hybrid;3300;2014
1365-7852;Prostate Cancer and Prostatic Diseases;Hybrid;3300;2014
2045-2322;Scientific Reports;Open Access;1350;2014
1362-4393;Spinal Cord;Hybrid;3000;2014
1572-0241;The American Journal of Gastroenterology;Hybrid;3200;2014
1751-7370;The ISME Journal;Hybrid;3300;2014
0021-8820;The Journal of Antibotics;Hybrid;3300;2014
1473-1150;The Pharmacogenomics Journal;Hybrid;3400;2014
2158-3188;Translational Psychiatry;Open Access;3900;2014
